username,password_hash,name,phone,email
admin1,admin123hash,System Administrator,9876543210,admin@nmamit.in
teacher_cse1_nmamit,teacher123hash,Dr. Rajesh Kumar,9876543212,rajesh.kumar@nmamit.in
teacher_cse2_nmamit,teacher123hash,Prof. Priya Sharma,9876543213,priya.sharma@nmamit.in
teacher_cv1_nmamit,teacher123hash,Dr. Suresh Patel,9876543214,suresh.patel@nmamit.in
teacher_cv2_nmamit,teacher123hash,Prof. Meena Singh,9876543215,meena.singh@nmamit.in
teacher_mech1_nmamit,teacher123hash,Dr. Arun Gupta,9876543216,arun.gupta@nmamit.in
teacher_mech2_nmamit,teacher123hash,Prof. Sunita Rao,9876543217,sunita.rao@nmamit.in
teacher_cse1_nitte,teacher123hash,Dr. Vikram Reddy,9876543218,vikram.reddy@nitte.edu.in
teacher_cse2_nitte,teacher123hash,Prof. Kavya Nair,9876543219,kavya.nair@nitte.edu.in
teacher_cv1_nitte,teacher123hash,Dr. Mohan Das,9876543220,mohan.das@nitte.edu.in
teacher_cv2_nitte,teacher123hash,Prof. Ritu Joshi,9876543221,ritu.joshi@nitte.edu.in
teacher_mech1_nitte,teacher123hash,Dr. Santosh Kumar,9876543222,santosh.kumar@nitte.edu.in
teacher_mech2_nitte,teacher123hash,Prof. Anita Verma,9876543223,anita.verma@nitte.edu.in
4nm23cs001,student123hash,Aarav Sharma,9876543301,aarav.sharma@student.nmamit.in
4nm23cs002,student123hash,Vivaan Singh,9876543302,vivaan.singh@student.nmamit.in
4nm23cs003,student123hash,Aditya Patel,9876543303,aditya.patel@student.nmamit.in
4nm23cs004,student123hash,Vihaan Kumar,9876543304,vihaan.kumar@student.nmamit.in
4nm23cs005,student123hash,Arjun Gupta,9876543305,arjun.gupta@student.nmamit.in
4nm23cs006,student123hash,Reyansh Yadav,9876543306,reyansh.yadav@student.nmamit.in
4nm23cs007,student123hash,Ayaan Jain,9876543307,ayaan.jain@student.nmamit.in
4nm23cs008,student123hash,Krishna Mishra,9876543308,krishna.mishra@student.nmamit.in
4nm23cs009,student123hash,Ishaan Agarwal,9876543309,ishaan.agarwal@student.nmamit.in
4nm23cs010,student123hash,Atharv Shah,9876543310,atharv.shah@student.nmamit.in
4nm23cv001,student123hash,Anaya Sharma,9876543311,anaya.sharma@student.nmamit.in
4nm23cv002,student123hash,Diya Singh,9876543312,diya.singh@student.nmamit.in
4nm23cv003,student123hash,Aadhya Patel,9876543313,aadhya.patel@student.nmamit.in
4nm23cv004,student123hash,Avni Kumar,9876543314,avni.kumar@student.nmamit.in
